0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:24:18 +0530] "GET /FoodApp/cart.jsp HTTP/1.1" 200 19029
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:24:20 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 7994
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:24:37 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 12671
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:26:23 +0530] "GET /FoodApp/cart.jsp HTTP/1.1" 200 19029
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:26:26 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 8553
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:28:48 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:44:29 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:46:28 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 8818
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:47:34 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 8814
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:48:33 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 8838
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:51:31 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 9015
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:52:58 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 9223
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:53:50 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 9365
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:54:39 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 9369
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:55:30 +0530] "POST /FoodApp/placeOrder HTTP/1.1" 404 773
